idnumber,City_ Location,day,Sex,Age,Time,Day_of_week,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Lanes_or_Medians,Road_allignment,Road_surface_type,Vehicle_movement,Label,results
l2n0xvmd,Mumbai,25-10-19,M,49,17:45:00,Thursday,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,other,Tangent road with flat terrain,Asphalt roads,Waiting to go,1,1
7mqw21zj,Bengaluru,26-10-19,F,42,17:45:00,Thursday,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,Undivided Two way,Escarpments,Asphalt roads,Going straight,1,1
sh3srp8g,Noida,27-10-19,F,54,22:45:00,Monday,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,,One way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
702d5pvf,Faridabad,28-10-19,M,38,22:45:00,Monday,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
yqym4bcr,San Francisco,29-10-19,F,43,22:45:00,Monday,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
0scg9skb,Gurgaon,30-10-19,M,60,22:45:00,Monday,Junior high school,Employee,2-5yr,,Owner,Above 10yr,other,Tangent road with flat terrain,Asphalt roads,Moving Backward,0,0
olup434q,Gurgaon,31-10-19,M,36,8:20:00,Tuesday,Junior high school,Employee,Below 1yr,Long lorry,Owner,5-10yrs,One way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
v9uevz3l,Gurgaon,01-11-19,F,43,8:20:00,Tuesday,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,One way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
73q9w1py,Gurgaon,02-11-19,M,44,15:10:00,Thursday,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Moving Backward,1,1
i3aimxdu,Bengaluru,03-11-19,F,49,12:11:00,Thursday,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,,other,Tangent road with flat terrain,Asphalt roads,Getting off,1,1
wy8yi0uu,Gurgaon,04-11-19,M,44,12:11:00,Thursday,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Reversing,1,1
ezgrfdhb,Pune,05-11-19,M,40,18:36:00,Wednesday,,Unknown,,,,,other,,Asphalt roads with some distress,Turnover,1,1
w39f584z,"San Jose,",06-11-19,M,36,18:36:00,Wednesday,Junior high school,Employee,2-5yr,Taxi,Owner,Above 10yr,other,Tangent road with rolling terrain,Asphalt roads,Going straight,1,1
61t686w7,Amritsar,07-11-19,M,53,18:36:00,Wednesday,Junior high school,Employee,5-10yr,,Owner,2-5yrs,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
1i6c0l3e,Delhi,08-11-19,M,52,14:35:00,Friday,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
9uqa39j9,Mumbai,09-11-19,F,53,12:25:00,Tuesday,,Unknown,,,,,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
piust0s6,Kormangala,10-11-19,M,51,12:25:00,Tuesday,,Employee,1-2yr,Lorry (41?100Q),Owner,,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
r707jl16,Tulangan,11-11-19,M,53,15:30:00,Monday,Junior high school,Employee,2-5yr,Automobile,Owner,,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
zu4yvn5e,Noida,12-11-19,M,56,18:10:00,Thursday,Junior high school,Employee,Above 10yr,Automobile,Governmental,Below 1yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Moving Backward,0,0
ji3p0l4j,Bengaluru,13-11-19,M,54,15:25:00,Thursday,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Reversing,1,1
nnedgexs,Bengaluru,14-11-19,M,41,15:25:00,Thursday,Junior high school,Employee,2-5yr,Automobile,Governmental,,other,Tangent road with flat terrain,Asphalt roads,Turnover,1,1
l29ovsgr,Gurgaon,15-11-19,F,43,13:57:00,Saturday,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,Undivided Two way,Gentle horizontal curve,Asphalt roads,Going straight,1,1
ktet18wl,Pune,16-11-19,M,32,13:57:00,Saturday,High school,Employee,5-10yr,Automobile,Owner,2-5yrs,Undivided Two way,Gentle horizontal curve,Asphalt roads,Going straight,1,1
3ejfxj6r,Mumbai,17-11-19,M,65,20:30:00,Friday,Above high school,Employee,1-2yr,Taxi,Owner,,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
lyquqef0,Mumbai,18-11-19,F,41,20:30:00,Friday,Junior high school,Employee,Below 1yr,,Owner,2-5yrs,Undivided Two way,Gentle horizontal curve,Asphalt roads,Going straight,1,1
3lg076wx,Hyderabad,19-11-19,F,48,20:30:00,Friday,,Unknown,,,Owner,,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
n25wnmq5,Burnsville,20-11-19,F,48,16:30:00,Sunday,High school,Employee,Below 1yr,Automobile,Owner,,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
91cx2jye,Bengaluru,21-11-19,F,54,16:30:00,Sunday,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
toea25ji,Mumbai,22-11-19,F,54,21:50:00,Sunday,,Unknown,,,Owner,5-10yrs,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
09gzchv0,Menlo Park,23-11-19,M,35,21:50:00,Sunday,High school,Employee,2-5yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
nroalw1z,Bengaluru,24-11-19,M,52,9:12:00,Wednesday,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Asphalt roads,Going straight,1,1
r9djydgi,Gurgaon,25-11-19,M,43,9:12:00,Wednesday,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,,Two-way (divided with broken lines road marking),Escarpments,Gravel roads,Going straight,0,0
gl1rh5h3,New Delhi,26-11-19,M,59,14:40:00,Friday,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Undivided Two way,Tangent road with mountainous terrain and,Asphalt roads,Going straight,1,1
xf34gjxs,Bengaluru,27-11-19,M,37,10:36:00,Friday,Junior high school,Employee,1-2yr,Stationwagen,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
88q36g00,Mumbai,28-11-19,M,50,10:36:00,Friday,Unknown,Employee,Below 1yr,Ridden horse,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
3iq7ogup,Noida,29-11-19,M,36,18:19:00,Monday,Junior high school,Employee,Below 1yr,Stationwagen,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
ecmayzr6,Bengaluru,30-11-19,M,41,18:19:00,Monday,High school,Employee,2-5yr,Automobile,Owner,Below 1yr,Undivided Two way,Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,0,0
nr7m8aid,Gurugram,01-12-19,M,50,19:12:00,Tuesday,Junior high school,Owner,1-2yr,Automobile,Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
lw2e9nra,Palo Alto,02-12-19,F,47,19:12:00,Tuesday,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
k84rcpav,San Francisco,03-12-19,M,45,11:38:00,Saturday,Elementary school,Employee,2-5yr,Taxi,Owner,2-5yrs,Double carriageway (median),Tangent road with mild grade and flat terrain,Asphalt roads,Going straight,0,0
bcry8yb7,Bengaluru,04-12-19,F,41,11:38:00,Saturday,Elementary school,Owner,5-10yr,Automobile,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
3i3trxk8,Santa Monica,05-12-19,F,52,11:38:00,Saturday,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
l8gu7swd,Gurgaon,06-12-19,F,51,11:38:00,Saturday,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
ky1b1yhv,Bengaluru,07-12-19,M,31,13:30:00,Thursday,High school,Employee,5-10yr,Public (12 seats),Organization,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
cd2i54y0,Noida,08-12-19,M,58,13:30:00,Thursday,Junior high school,Employee,5-10yr,,Owner,,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
h06876ok,Gurgaon,09-12-19,M,54,12:39:00,Tuesday,Junior high school,Employee,Above 10yr,Automobile,Governmental,Above 10yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
srk7b83b,Gurgaon,10-12-19,M,52,12:39:00,Tuesday,Junior high school,,1-2yr,Lorry (41?100Q),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Gravel roads,Going straight,1,1
lefrdvqe,Bengaluru,11-12-19,M,49,12:30:00,Friday,Junior high school,Employee,2-5yr,,Owner,,Unknown,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
oz2ztmzo,Gurgaon,12-12-19,F,43,12:30:00,Friday,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,1-2yr,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
bcbqgb2l,Singapore,13-12-19,M,45,16:55:00,Sunday,,,,,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
isrb4y3p,New Delhi,14-12-19,M,46,16:55:00,Sunday,Elementary school,Employee,5-10yr,Public (12 seats),Organization,Above 10yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
8vtcochx,Kormangala,15-12-19,F,50,18:25:00,Monday,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,One way,Tangent road with flat terrain,Earth roads,Going straight,1,1
ohq0i87o,Taramani,16-12-19,F,37,18:25:00,Monday,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
cje77dva,New Delhi,17-12-19,F,45,13:01:00,Thursday,Junior high school,Employee,2-5yr,,Organization,5-10yrs,Undivided Two way,Tangent road with mountainous terrain and,Asphalt roads,Going straight,1,1
qm8kalyt,Bengaluru,18-12-19,M,32,13:01:00,Thursday,Junior high school,Owner,Above 10yr,Automobile,Owner,Above 10yr,other,Tangent road with flat terrain,,Unknown,1,1
n026zwp8,Singapore,19-12-19,M,52,13:45:00,Wednesday,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Two-way (divided with broken lines road marking),Escarpments,Gravel roads,Going straight,1,1
osm15rfg,Singapore,20-12-19,M,44,13:45:00,Wednesday,Elementary school,Other,5-10yr,Public (12 seats),Owner,1-2yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
v08kag9w,Andheri,21-12-19,M,57,18:45:00,Monday,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,,Reversing,1,1
axtar583,Mumbai,22-12-19,M,44,18:45:00,Monday,Junior high school,Unknown,5-10yr,Automobile,Owner,,Double carriageway (median),Steep grade downward with mountainous terrain,Asphalt roads,Going straight,1,1
n057xgzc,Mumbai,23-12-19,M,52,11:02:00,Thursday,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,Undivided Two way,Tangent road with mild grade and flat terrain,Earth roads,Going straight,0,0
d0fonyex,Chembur,24-12-19,F,44,11:02:00,Thursday,Elementary school,Employee,Above 10yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
d2efggsl,Bengaluru,25-12-19,M,55,11:02:00,Thursday,Junior high school,,Below 1yr,Bajaj,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
j2edc3sz,New Delhi,26-12-19,M,46,11:02:00,Thursday,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
z947y7op,Gurgaon,27-12-19,M,32,15:55:00,Tuesday,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,5-10yrs,Undivided Two way,Tangent road with mountainous terrain and,Asphalt roads,Turnover,0,0
6oca1mrm,Bengaluru,28-12-19,F,35,15:00:00,Wednesday,,Unknown,,,,,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
nn4rum8j,New Delhi,29-12-19,M,52,20:00:00,Sunday,Junior high school,Employee,Above 10yr,,Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Earth roads,Going straight,1,1
shldv3lb,Hyderabad,30-12-19,M,49,20:00:00,Sunday,High school,Owner,2-5yr,Automobile,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
rc0zhw5h,Bengaluru,31-12-19,M,55,18:48:00,Wednesday,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
ixcf1fxx,Nairobi,01-01-20,M,54,18:48:00,Wednesday,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
rn8mtrvc,New Delhi,02-01-20,M,63,15:55:00,Sunday,Above high school,Owner,2-5yr,Pick up upto 10Q,Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
y903mxcj,Bengaluru,03-01-20,M,52,15:55:00,Sunday,,Unknown,,Lorry (11?40Q),Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Turnover,0,0
y15g1yak,Bengaluru,04-01-20,M,56,23:25:00,Wednesday,Elementary school,Owner,2-5yr,Stationwagen,Owner,,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
l8q3hqr3,Haryana,05-01-20,M,66,23:25:00,Wednesday,Junior high school,Employee,1-2yr,Other,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
k2aydz68,New York,06-01-20,M,65,23:25:00,Wednesday,,Owner,5-10yr,Other,Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Reversing,1,1
kxivgxbg,Karnataka,07-01-20,F,53,7:40:00,Monday,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,5-10yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
gebdyeia,Mumbai/Bengaluru,08-01-20,M,43,7:40:00,Monday,Junior high school,Employee,2-5yr,,Owner,2-5yrs,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
35k4065e,Bengaluru,09-01-20,M,55,15:17:00,Sunday,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Reversing,1,1
6qvchtiw,Bengaluru,10-01-20,F,49,15:17:00,Sunday,Junior high school,Employee,Above 10yr,Lorry (41?100Q),,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Earth roads,Going straight,0,0
huou17og,Delhi,11-01-20,M,39,15:50:00,Monday,Elementary school,Employee,2-5yr,Other,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Moving Backward,0,0
yupm6smb,Bengaluru,12-01-20,F,52,15:50:00,Monday,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Moving Backward,1,1
vt96fwgu,Hyderabad,13-01-20,M,48,9:45:00,Sunday,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
jk7cn1p3,Bengaluru,14-01-20,F,39,9:45:00,Sunday,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Unknown,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
eeej1gno,Mumbai,15-01-20,M,58,17:35:00,Thursday,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,Double carriageway (median),Tangent road with flat terrain,Other,Going straight,1,1
fvuwick5,Bengaluru,16-01-20,M,43,17:35:00,Thursday,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Gravel roads,Going straight,1,1
45tre8rn,New Delhi,17-01-20,M,39,17:35:00,Thursday,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Gravel roads,Going straight,1,1
6rebpe57,Bengaluru,18-01-20,M,56,20:50:00,Sunday,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
rk7l3uq3,Bengaluru,19-01-20,M,41,20:50:00,Sunday,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
dp55tcyy,Bhopal,20-01-20,M,65,21:32:00,Thursday,Junior high school,Employee,Above 10yr,Other,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Earth roads,Going straight,1,1
lyp24gh5,New Delhi,21-01-20,M,51,21:32:00,Thursday,Elementary school,Employee,5-10yr,,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
90j0a49r,Gurugram,22-01-20,F,40,19:55:00,Monday,,Employee,,Long lorry,Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
v0631d43,Bengaluru,23-01-20,M,40,19:55:00,Monday,,Employee,2-5yr,Public (12 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
gs8x2rnj,Mumbai,24-01-20,M,46,16:10:00,Monday,Elementary school,Employee,5-10yr,Public (12 seats),Owner,,,Tangent road with flat terrain,Asphalt roads,Parked,1,1
3cnp3snn,Mumbai,25-01-20,M,57,16:10:00,Monday,Junior high school,Employee,5-10yr,Other,Governmental,2-5yrs,Two-way (divided with broken lines road marking),,Earth roads,Going straight,0,0
na42a0tr,Bengaluru,26-01-20,F,48,15:25:00,Monday,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
8ruloxnm,Mumbai,27-01-20,M,34,23:36:00,Thursday,Junior high school,Employee,5-10yr,Other,,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
rmnck42f,Bengaluru and Gurugram,28-01-20,M,50,23:36:00,Thursday,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,One way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
jgtr3rsg,Bengaluru,29-01-20,M,39,23:36:00,Thursday,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
4vx7ez7s,Gurugram,30-01-20,F,59,23:36:00,Thursday,Elementary school,Employee,5-10yr,Other,Owner,Unknown,One way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
mmnxv9fo,Bengaluru,31-01-20,M,57,20:00:00,Monday,Elementary school,Employee,1-2yr,Public (12 seats),Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Turnover,1,1
qadhft2p,Gurgaon,01-02-20,M,47,20:00:00,Monday,Elementary school,Employee,5-10yr,Other,Governmental,,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
e8k72955,India/Singapore,02-02-20,M,38,20:00:00,Monday,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,,Unknown,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
y4w3plro,New Delhi,03-02-20,F,49,17:54:00,Friday,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,,Tangent road with flat terrain,Asphalt roads,Unknown,1,1
5h5rb46p,Gurgaon,04-02-20,F,33,17:54:00,Friday,Elementary school,Employee,5-10yr,Other,Owner,Unknown,other,Tangent road with flat terrain,Asphalt roads,Moving Backward,0,0
jagj8d77,Jaipur,05-02-20,M,38,18:04:00,Monday,,Unknown,5-10yr,Other,Owner,Above 10yr,,Tangent road with flat terrain,Earth roads,Going straight,0,0
qohx5eyg,India/US,06-02-20,F,59,17:00:00,Friday,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,One way,Tangent road with flat terrain,Asphalt roads,Moving Backward,1,1
upsc9cf8,Chennai,07-02-20,F,35,1:15:00,Saturday,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Turnover,1,1
ti0avcqy,Delhi,08-02-20,M,34,1:15:00,Saturday,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
dd98qb6d,New Delhi,09-02-20,F,47,1:15:00,Saturday,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
xfwojl20,Mumbai,10-02-20,F,52,1:15:00,Saturday,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,Unknown,Two-way (divided with broken lines road marking),,Earth roads,Unknown,1,1
b9kf2s7w,Gurugram,11-02-20,M,46,18:30:00,Wednesday,Elementary school,Employee,2-5yr,Automobile,Governmental,2-5yrs,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,1,1
i36fuou9,Nagpur,12-02-20,F,58,18:30:00,Wednesday,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Governmental,,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
rxhygr8x,Indore,13-02-20,M,58,15:52:00,Friday,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
uvfppirt,Gurugram,14-02-20,M,54,15:52:00,Friday,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
3owcqt3d,Bengaluru,15-02-20,F,34,15:52:00,Friday,Junior high school,Employee,Below 1yr,Other,Owner,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Reversing,0,0
xbxs9dg6,Chennai,16-02-20,F,48,12:33:00,Tuesday,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,Unknown,other,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
34je017c,Bengaluru,17-02-20,F,54,8:59:00,Monday,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,other,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
m9hmv8c8,Bengaluru,18-02-20,M,42,8:59:00,Monday,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,1,1
m4u48nnw,Jaipur,19-02-20,M,38,17:25:00,Saturday,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,other,Tangent road with flat terrain,Other,Turnover,1,1
sl4u8e6e,"New York, Bengaluru",20-02-20,M,46,0:53:00,Sunday,Elementary school,Employee,,Ridden horse,,,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Reversing,1,1
sc411pol,New Delhi,21-02-20,M,56,0:53:00,Sunday,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Undivided Two way,Tangent road with flat terrain,Asphalt roads,Going straight,0,0
1bxwb2hj,Bengaluru,22-02-20,M,56,0:53:00,Sunday,,Employee,5-10yr,Automobile,Owner,2-5yrs,Double carriageway (median),Tangent road with flat terrain,Asphalt roads,Going straight,0,0
